TIPO DE MEJORAMIENTO,INGRESOS MENSUALES,LOCALIDAD,SECTOR,CICLO DE VIDA,GRUPO POBLACIONAL,ENTIDAD DISTRITAL QUE ASIGNA EL SUBSIDIO,NIVEL EDUCATIVO,SEXO,ESTADO CIVIL,OCUPACIÓN,ÉTNICO,VALOR_SUBSIDIO
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Soltero(a),Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,No tiene,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Casado(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Entre 1 y 2 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica primaria (1.o - 5.o),Hombre,Casado(a),Sin actividad,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Entre 1 y 2 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Preescolar,Mujer,Unión libre,Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,JUVENTUD (18-28),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Hombre,Unión libre,Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Ninguno,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Viudo(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,No tiene,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Ninguno,CORVIVIENDA,Técnico o tecnológico (1 - 4),Mujer,Casado(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Separado(a) o divorciado(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Ninguno,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Víctima Conflicto Armado,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica secundaria (6.o - 9.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Técnico o tecnológico (1 - 4),Mujer,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,No tiene,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Viudo(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Hombre,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Separado(a) o divorciado(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Soltero(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Hombre,Unión libre,Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Casado(a),Sin actividad,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Entre 1 y 2 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Entre 1 y 2 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Media (10.o - 13.o),Hombre,Unión libre,Empleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Viudo(a),Sin actividad,Ninguno,15600000.0
SANEAMIENTO BÁSICO,No tiene,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Unión libre,Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Víctima Conflicto Armado por Desplazamiento Forzado,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,JUVENTUD (18-28),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Hombre,Soltero(a),Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Unión libre,Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Casado(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Víctima Conflicto Armado,CORVIVIENDA,Básica secundaria (6.o - 9.o),Hombre,Separado(a) o divorciado(a),Trabajador Independiente,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Entre 1 y 2 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTO MAYOR (60 o más),Ninguno,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Soltero(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica primaria (1.o - 5.o),Mujer,Soltero(a),Ama de Casa/Cuidador,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,ADULTEZ (29-59),Pobreza Extrema,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Soltero(a),Desempleado,Ninguno,15600000.0
SANEAMIENTO BÁSICO,Menor a 1 SMMLV,Localidad 2 - Virgen y Turistica,URBANO,JUVENTUD (18-28),Damnificados,CORVIVIENDA,Básica secundaria (6.o - 9.o),Mujer,Soltero(a),Desempleado,Ninguno,15600000.0
