SEXO,NIVEL EDUCATIVO,ESTADO CIVIL,OCUPACIÓN,REGIMEN SEGURIDAD SOCIAL,INGRESOS MENSUALES,GRUPO POBLACIONAL,ÉTNICO,CICLO DE VIDA,CAMPESINO,DISCAPACIDAD,LOCALIDAD,CABILDO,BARRIO/CORREGIMIENTO,SECTOR,FECHA DE RESOLUCIÓN,ENTIDAD DISTRITAL QUE ASIGNA EL SUBSIDIO,TIPO DE MEJORAMIENTO,VALOR DEL SUBSIDIO
Mujer,Básica primaria (1.o - 5.o),Soltero(a),Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Casado(a),Ama de Casa/Cuidador,Subsidiado (EPS-S),No tiene,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Ama de Casa/Cuidador,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Casado(a),Sin actividad,Subsidiado (EPS-S),Entre 1 y 2 SMMLV,Ninguno,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Entre 1 y 2 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Desempleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Preescolar,Unión libre,Desempleado,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTO MAYOR (60 o mas),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Mujer,Básica primaria (1.o - 5.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,ADULTEZ (29-59),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
Hombre,Básica secundaria (6.o - 9.o),Unión libre,Trabajador Independiente,Subsidiado (EPS-S),Menor a 1 SMMLV,Pobreza Extrema,Ninguno,JUVENTUD (18-28),No,Ninguna,Localidad 2 - Virgen y Turistica,NO REPORTADO,LIBANO,URBANO,06/05/2024 12:00:00 AM,CORVIVIENDA,SANEAMIENTO BÁSICO,"$   15,600,000.00"
